ilość,active,id,variantId,sku,namePL,variantName,PL_1,CZ_5,HU_7,EN_9,DE_11,FR_13,LT_15,RU_17,RO_19,SK_21,IT_23,BG_25,UA_27,ES_29,HR_31,NL_33,ME_39,BE_35,AT_37,RS_41,IR_43,SI_45,EE_47,LV_49,PT_51,FI_53,GR_55
46,0,4019,32646,,Szlafrok Diamond Podomka Diam L/XL z allegro,beige / ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,32647,,Szlafrok Diamond Podomka Diam L/XL z allegro,Black / Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,32648,,Szlafrok Diamond Podomka Diam L/XL z allegro,miętowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,32649,,Szlafrok Diamond Podomka Diam L/XL z allegro,ciemnobrązowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,32650,,Szlafrok Diamond Podomka Diam L/XL z allegro,pomarańczowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,34444,,Szlafrok Diamond Podomka Diam L/XL z allegro,Pudrowy róż,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,35168,,Szlafrok Diamond Podomka Diam L/XL z allegro,purple grey,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,42350,,Szlafrok Diamond Podomka Diam L/XL z allegro,navy / ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,42381,,Szlafrok Diamond Podomka Diam L/XL z allegro,powder pink / ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,44694,,Szlafrok Diamond Podomka Diam L/XL z allegro,navy / white (ecru),,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,44770,,Szlafrok Diamond Podomka Diam L/XL z allegro,jasnoszary,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,46515,,Szlafrok Diamond Podomka Diam L/XL z allegro,Grey / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,46578,,Szlafrok Diamond Podomka Diam L/XL z allegro,Navy / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,46787,,Szlafrok Diamond Podomka Diam L/XL z allegro,Black / Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,46850,,Szlafrok Diamond Podomka Diam L/XL z allegro,Black / Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,46977,,Szlafrok Diamond Podomka Diam L/XL z allegro,Grey / Black,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,47051,,Szlafrok Diamond Podomka Diam L/XL z allegro,Jasny Róż,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,47430,,Szlafrok Diamond Podomka Diam L/XL z allegro,Navy / Black,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,47496,,Szlafrok Diamond Podomka Diam L/XL z allegro,Niebieski,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,47559,,Szlafrok Diamond Podomka Diam L/XL z allegro,Ecru / Powder Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4019,,,Szlafrok Diamond Podomka Diam L/XL z allegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32652,,Szlafrok Diamond Podomka Diam S/M z allegro,brązowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32653,,Szlafrok Diamond Podomka Diam S/M z allegro,kremowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32654,,Szlafrok Diamond Podomka Diam S/M z allegro,jasnoniebieski,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32655,,Szlafrok Diamond Podomka Diam S/M z allegro,Granatowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32656,,Szlafrok Diamond Podomka Diam S/M z allegro,żółty,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32657,,Szlafrok Diamond Podomka Diam S/M z allegro,różowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32658,,Szlafrok Diamond Podomka Diam S/M z allegro,biały,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32659,,Szlafrok Diamond Podomka Diam S/M z allegro,fioletowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32660,,Szlafrok Diamond Podomka Diam S/M z allegro,czerwony,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32661,,Szlafrok Diamond Podomka Diam S/M z allegro,beżowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32662,,Szlafrok Diamond Podomka Diam S/M z allegro,czarny,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32663,,Szlafrok Diamond Podomka Diam S/M z allegro,ekru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32664,,Szlafrok Diamond Podomka Diam S/M z allegro,jasnozielony,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32665,,Szlafrok Diamond Podomka Diam S/M z allegro,szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32666,,Szlafrok Diamond Podomka Diam S/M z allegro,mokka,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32667,,Szlafrok Diamond Podomka Diam S/M z allegro,ecru / grey,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,32668,,Szlafrok Diamond Podomka Diam S/M z allegro,ecru / mocca,,,,,,,,,,,,,,,,,,,,,,,,,,,
