ilość,active,id,variantId,sku,namePL,variantName,PL_1,CZ_5,HU_7,EN_9,DE_11,FR_13,LT_15,RU_17,RO_19,SK_21,IT_23,BG_25,UA_27,ES_29,HR_31,NL_33,ME_39,BE_35,AT_37,RS_41,IR_43,SI_45,EE_47,LV_49,PT_51,FI_53,GR_55
4,0,3856,31703,OSW-03007,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 18W,Ciepła biała 3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3856,31704,OSW-03006,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 18W,Neutralna 4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3856,31705,OSW-03008,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 18W,Zimny Biały 6500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3856,53567,,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 18W,Neutralna 4500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3856,,,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 18W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3859,31747,OSW-03019,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 36W,Ciepła biała 3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3859,31748,OSW-03018,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 36W,Neutralna 4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3859,31749,OSW-03020,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 36W,Zimny Biały 6500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3859,53569,,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 36W,Neutralna 4500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3859,,,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 36W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
