#	Nazwa produktu	Opcja	Cena netto	Stawka VAT	Suma VAT	Cena brutto	Producent	Dostępne	W magazynie	W kolejce	Waga
597	Brodzik prysznicowy akrylowy Rea Ego biały	80 x 80	277.24	23	63.76	341	Rea	0	-46	-46	15kg
1090	USUWAMY Bateria podtynkowa Rea Master Chrom	---	161.79	23	37.21	199	Rea	1	2	1	3kg
1092	Bateria umywalkowa Rea Enzo Chrom Wysoka	---	158.54	23	36.46	195	Rea	450	452	2	3kg
1095	Umywalka nablatowa/ścienna Rea Pepi	---	147.97	23	34.03	182	Rea	0	0	0	10kg
1097	Bateria Umywalkowa Rea Tess Chrom Wysoka	---	202.44	23	46.56	249	Rea	603	617	14	3kg
1100	Adapter poszerzający do kabin i drzwi Rea	---	72.36	23	16.64	89	Rea	1	1	0	5kg
1101	Syfon umywalkowy chromowany z korkiem klik-klak Rea	z otworem przelewowym	64.23	23	14.77	79	Rea	9	9	0	1kg
875	Szlafrok damski Rea Różowy / szary	---	56.1	23	12.9	69	Rea	1	3	2	1kg
1102	Uszczelka dolna do kabiny prysznicowej 6-8 mm Rea	---	20.33	23	4.67	25	Rea	218	221	3	6kg
1103	Dozownik zlewozmywakowy do płynu Rea czarny	---	39.84	23	9.16	49	Rea	472	475	3	1kg
1105	Korek umywalkowy mosiężny klik-klak Rea chromowany	bez otworu przelewowego	23.58	23	5.42	29	Rea	0	1	1	1kg
1106	Uniwersalna rolka do kabiny podwójna górna Rea	---	5.36	23	1.23	6.59	Rea	816	817	1	0.1kg
1111	Umywalka wolnostojąca Rea Estera	---	1056.1	23	242.9	1299	Rea	0	-49	-49	50kg
1112	Umywalka wolnostojąca Rea Lavena	---	950.41	23	218.59	1169	Rea	1	1	0	50kg
1113	Kabina prysznicowa Rea Round Space	90 x 90 cm	682.11	23	156.89	839	Rea	1	1	0	65kg
1114	Misa WC podwieszana Rea Ryan Rimless Duroplast Slim	---	520.33	23	119.67	640	Rea	0	0	0	42kg
1116	Bateria wannowa Rea Riven chrom	---	486.99	23	112.01	599	Rea	240	241	1	5kg
596	Brodzik prysznicowy akrylowy Rea Breno czarny	80 x 100	288.62	23	66.38	355	Rea	1	1	0	15kg
596	Brodzik prysznicowy akrylowy Rea Breno czarny	80 x 120	288.62	23	66.38	355	Rea	0	0	0	15kg
1117	Umywalka nablatowa Rea Melania White / Gold	---	243.09	23	55.91	299	Rea	126	129	3	15kg
1118	Umywalka nablatowa Rea Melania Gold	---	300	23	69	369	Rea	0	-9	-9	15kg
1119	Umywalka nablatoowa Rea Sofia Silver / White	---	218.7	23	50.3	269	Rea	0	3	3	9kg
1120	Umywalka nablatowa Rea Sofia Gold	---	243.09	23	55.91	299	Rea	0	0	0	9kg
1121	Umywalka nablatowa Rea Sofia Gold / White	---	243.09	23	55.91	299	Rea	807	809	2	9kg
1122	Umywalka nablatowa Rea Royal 60	---	226.83	23	52.17	279	Rea	806	806	0	6kg
1123	Umywalka nablatowa Rea Melania	---	186.18	23	42.82	229	Rea	0	-20	-20	10kg
1125	Umywalka REA Amelia Nablatowa	---	161.79	23	37.21	199	Rea	888	888	0	8.5kg
1126	Umywalka nablatowa Rea Belinda	---	161.79	23	37.21	199	Rea	808	811	3	9kg
1128	Bateria umywalkowa Rea 3013 Czarna	---	117.07	23	26.93	144	Rea	0	0	0	3kg
